,deltaG,fraction of absolute ddG below 0.2,fraction of absolute ddG below 0.4,fraction of absolute ddG below 0.6,fraction of absolute ddG below 0.8,fraction of absolute ddG below 1.0,fraction of ddG above -0.2,fraction of ddG above -0.4,fraction of ddG above -0.6,fraction of ddG above -0.8,fraction of ddG above 0,fraction of deltaG zero,higher-level coarse-grained structure,length of coarse-grained structure including exterior,length of higher-level coarse-grained structure,lower quartile ddG incl inf,median deltadeltaG,number of basepairs,structure
518,0.6267515904015037,0.22811983958480775,0.2564991743335692,0.2848077376739797,0.3079028072658646,0.3297711724463317,0.2518754423213022,0.27209247464024533,0.2926397735314933,0.3119131870724227,0.23054965793819296,0.05800000000000005,[],11,2,0.40000009536743164,0.6000001430511475,8,(((..((.(((......)))))....))).
519,0.4872000085512797,0.2426074074074074,0.2690666666666667,0.2886518518518518,0.30619259259259257,0.3216888888888889,0.26026666666666665,0.27857777777777776,0.2930962962962963,0.3078222222222222,0.24014814814814814,0.25,[],11,2,0.2999999523162842,0.3000001907348633,9,...((((.((..(((...)))...))))))
520,0.40779999673366546,0.1307111111111111,0.1517111111111111,0.17015555555555556,0.19006666666666666,0.20653333333333335,0.14015555555555556,0.15602222222222223,0.17166666666666666,0.19062222222222222,0.12191111111111111,0.0,[[][]],12,6,1.500000238418579,1.200000286102295,10,((((((((...))).))((....))..)))
521,0.2214141420041672,0.3507070707070707,0.3770145903479237,0.39205387205387204,0.40799102132435466,0.4200897867564534,0.35279461279461277,0.3770145903479237,0.39205387205387204,0.40799102132435466,0.3267115600448934,0.010000000000000009,[],7,2,0.0,1.1920928955078125e-07,8,...((((((((.........))))))..))
522,0.45307377799124016,0.1640255009107468,0.19039162112932606,0.21113387978142076,0.23028233151183972,0.24936247723132968,0.1820582877959927,0.2002959927140255,0.21671220400728597,0.23356102003642987,0.16318306010928962,0.02400000000000002,[],13,2,1.0999999046325684,1.0999999046325684,9,((.(((...((.((.....))))..)))))
523,0.5004184108118382,0.15848442584844258,0.18582054858205485,0.20748489074848908,0.2293119479311948,0.251487680148768,0.17505811250581124,0.19528126452812644,0.21273826127382614,0.23226406322640633,0.15548582054858207,0.04400000000000004,[],14,2,1.0000001192092896,1.3000000715255737,8,((..((..((((......)).)).))..))
524,0.7174180209880969,0.3191712204007286,0.3405965391621129,0.352436247723133,0.3628870673952641,0.36878415300546447,0.34127959927140256,0.35284608378870674,0.358948087431694,0.366051912568306,0.3211065573770492,0.02400000000000002,[],8,2,9.5367431640625e-07,0.0,11,..((((((.(((((....))))).))))))
525,0.46844659998868277,0.15960086299892126,0.18276699029126214,0.19913700107874865,0.215722761596548,0.23060949298813377,0.17292340884573895,0.18932038834951456,0.20280474649406688,0.21725997842502698,0.1586839266450917,0.17600000000000005,[],13,2,1.3000001907348633,0.6999998092651367,11,((.((((((.(((...)))))))..)).))
526,0.6030060263697752,0.1501224671565353,0.17499443331106657,0.19561344912046316,0.21520819416611,0.23415720329547984,0.17027388109552438,0.18659541304831886,0.20244934313070587,0.21899354264083723,0.1531062124248497,0.0020000000000000018,[],14,2,1.200000286102295,1.2999999523162842,9,((((..(((..((...))..)))..)).))
527,0.5248868904872988,0.17978883861236802,0.20877325289089996,0.2284313725490196,0.24733534439416793,0.2657365510306687,0.19650578179989944,0.21764705882352942,0.23386123680241327,0.25027652086475616,0.17038712921065863,0.11599999999999999,[],13,2,0.8999999985098839,0.6000001430511475,10,.((.(((...(((((....)).))))))))
528,0.39791231271120603,0.23203433078172117,0.2610763163999072,0.2869403850614707,0.3126652748782185,0.3351658547900719,0.24674089538390165,0.26893992113198795,0.29069821387149153,0.3140802598005103,0.22240779401530966,0.04200000000000004,[],11,2,0.3999999761581421,0.7999999523162842,7,.....(((.((((....))...))...)))
529,0.3653927787727105,0.15307855626326963,0.181104033970276,0.20474168435951876,0.22708185892899269,0.2487379098844067,0.1637650389242746,0.18553904222694032,0.20636942675159237,0.22757725878744986,0.14140127388535031,0.05800000000000005,[][],15,4,1.0999999046325684,1.3000001311302185,8,((..((.((...)).))))..((....)).
530,0.9547872397295655,0.3419326241134752,0.3777186761229314,0.40236406619385345,0.42700945626477543,0.445951536643026,0.38643617021276594,0.4071808510638298,0.4238770685579196,0.44045508274231676,0.3615839243498818,0.248,[],8,2,0.0,0.10000002384185791,7,.(((((((........))).))))......
531,0.21029812977889042,0.24104185486299307,0.2611261668172237,0.2766034327009937,0.295091839807287,0.3087624209575429,0.2418849744052996,0.2611261668172237,0.2766034327009937,0.295091839807287,0.21541704305931947,0.262,[],11,2,0.3000001907348633,0.19999980926513672,10,.((((((((....((...))))).))))).
532,0.4839916797877597,0.31554631554631557,0.3559020559020559,0.3962808962808963,0.42905982905982903,0.458004158004158,0.3501039501039501,0.3762993762993763,0.40753060753060755,0.43374913374913376,0.32298452298452296,0.038000000000000034,[],8,2,0.0,0.5,5,((.....(((....)))...))........
