,Unnamed: 0,deltaG,fraction of absolute ddG below 0.2,fraction of absolute ddG below 0.4,fraction of absolute ddG below 0.6,fraction of absolute ddG below 0.8,fraction of absolute ddG below 1.0,fraction of ddG above -0.2,fraction of ddG above -0.4,fraction of ddG above -0.6,fraction of ddG above -0.8,fraction of ddG above 0,fraction of deltaG zero,higher-level coarse-grained structure,length of coarse-grained structure including exterior,length of higher-level coarse-grained structure,lower quartile ddG incl inf,median deltadeltaG,number of basepairs,structure,N,stacks
19,19,0.34826883710086226,0.2952704231726635,0.31568228105906315,0.3287169042769857,0.346367956551256,0.3618013125141435,0.30199140076940484,0.3162480199140077,0.3287169042769857,0.346367956551256,0.2847929395790903,0.018000000000000016,[][],10,4,4.76837158203125e-07,4.76837158203125e-07,9,(((.((((....)))).)))((......)),264739793367.128,3
20,20,0.39120654825783946,0.21922290388548055,0.24314928425357876,0.2649170643035674,0.2876391729152465,0.3072710747557373,0.23278800272665304,0.2508066348557146,0.268552601681436,0.2887980004544421,0.21290615769143376,0.02200000000000002,[][],10,4,0.5,0.5000001192092896,9,..((((...))))(((((.....))..))),20940876697.014,3
21,21,0.5722222157319387,0.2465679012345679,0.2756543209876543,0.29703703703703704,0.3160740740740741,0.33723456790123457,0.2677283950617284,0.2875061728395062,0.30446913580246915,0.3209135802469136,0.2454320987654321,0.09999999999999998,[],11,2,0.2999999411404133,0.5,8,..((((...((((......)).))))))..,366590216484.9,3
22,22,0.528712874794803,0.2506050605060506,0.28495599559956,0.3099009900990099,0.3317106710671067,0.3524202420242024,0.2742574257425743,0.2978822882288229,0.3174917491749175,0.33600110011001094,0.2511001100110011,0.19199999999999995,[],11,2,0.20000028610229487,0.4000000953674317,8,...((((((((.......)).)))..))).,496489700197.11206,3
23,23,0.4412997935584256,0.26363848124854417,0.2979734451432565,0.3236198462613557,0.34446773817842996,0.3626601444211507,0.28266946191474496,0.30633589564407177,0.3273235499650594,0.3466107617051013,0.25585837409736784,0.04600000000000004,[][],11,4,0.19999992847442627,0.3000001907348633,8,((((....)))).....((.((...)))).,82798575848.586,3
24,24,0.6104212823074039,0.3239960581423996,0.3662478442966248,0.3969204237496921,0.4242670608524267,0.4490514905149052,0.3610987928061099,0.3885932495688593,0.4114067504311407,0.43306233062330624,0.3310667652131067,0.09799999999999998,[],9,2,0.0,0.4000000953674317,5,.(((.((.......))...)))........,3461660408799.23,2
25,25,0.2965163885325682,0.1960382513661202,0.2206967213114754,0.2410974499089253,0.2632285974499089,0.288683970856102,0.20273224043715848,0.2228142076502732,0.2416211293260473,0.26331967213114754,0.1802823315118397,0.024000000000000018,[],11,2,0.7000000476837158,1.2000000476837158,7,....((....(((((...)))...))..)),15825024.064,3
26,26,0.4172340405114154,0.26278959810874697,0.3028368794326241,0.33416075650118204,0.3625531914893617,0.3874231678486998,0.28390070921985816,0.3129078014184397,0.3385342789598109,0.3642316784869976,0.2504728132387707,0.06000000000000005,[][],12,4,0.20000004768371585,0.6000001430511475,6,.((((....)).))...((........)).,52004755556.659996,3
27,27,0.5125640956255105,0.20173789173789172,0.227977207977208,0.2497435897435897,0.26766381766381764,0.2851566951566952,0.21863247863247864,0.2374928774928775,0.2541880341880342,0.2698860398860399,0.19897435897435894,0.22,[],13,2,0.6999998092651367,0.4000000953674317,10,((((((((.((....)))).)))..)))..,55939707213.78,4
28,28,0.6840108409322051,0.2906052393857272,0.3187895212285456,0.3386329418849744,0.3559470039144836,0.3732309545317675,0.3169527250828064,0.33444745558566696,0.3487202649804276,0.36260162601626017,0.2956940680517916,0.262,[],11,2,9.5367431640625e-07,0.09999990463256836,9,.....((((.(((((....))).)))))).,1758830365786.14,3
29,29,0.5571734404921277,0.23235783963835355,0.26723768736616704,0.29409945277182964,0.32019985724482514,0.3467761123007376,0.2590054722817036,0.2823935284320723,0.30387818225077323,0.32648108493932904,0.23197715917202,0.06599999999999995,[],13,2,0.3000001907348633,0.9999998807907104,6,..((..((..((.....))..)).))....,480742621955.736,3
30,30,0.5422268926533831,0.19710550887021475,0.22983193277310926,0.25326797385620914,0.2741830065359477,0.29339402427637723,0.2185807656395892,0.2414565826330532,0.2597572362278245,0.2774743230625584,0.196218487394958,0.048000000000000036,[],13,2,0.6000000834465027,0.9000000953674316,8,..(((...((..(((...))).))..))).,232056803774.54398,3
31,31,0.5182825330221752,0.2256694367497692,0.24518313327177596,0.25989535241612804,0.27469990766389657,0.28519544475223146,0.2381040320098492,0.25155432440751,0.26294244382887044,0.2756540473991997,0.22120652508464145,0.278,[],11,2,0.5,0.09999990463256836,11,.(((((((..((((...)))).)).))))),281757907684.27,3
32,32,0.4462845001820546,0.2305732484076433,0.26414248643548005,0.2924746402453409,0.3205708893606983,0.3464968152866242,0.25095541401273885,0.27523000707714085,0.29877329558858223,0.3237320122670441,0.2258315640481245,0.05800000000000005,[],12,2,0.3999998569488525,0.9999999403953552,6,.((.....((.((...)))).....))...,42778404217.284,3
33,33,0.5257731799919579,0.21292096219931272,0.2419473081328752,0.2616036655211913,0.281282932416953,0.2995647193585338,0.230950744558992,0.2512256586483391,0.2675143184421535,0.2843757159221077,0.2104009163802978,0.030000000000000027,[],11,2,0.5,0.5999999046325684,9,(((((.((..((.....))...)).))))),802690465571.36,3
34,34,0.4168918889754259,0.2072072072072072,0.2335085085085085,0.25773273273273273,0.2805555555555556,0.3006006006006006,0.22342342342342345,0.243018018018018,0.2625625625625625,0.2826326326326326,0.20102602602602604,0.112,[],10,2,0.5999999046325684,0.6000001430511475,9,(((((((((......))..))...))))).,25431604816.344,3
35,35,0.5928870336031814,0.2316596931659693,0.2648303114830312,0.2905625290562529,0.3129242212924221,0.33403068340306835,0.2600185960018596,0.2814969781496978,0.300650860065086,0.3184565318456532,0.23633193863319385,0.04400000000000004,[],12,2,0.3000001907348633,0.5999999046325684,8,((.((....((((....)))).)).))...,412519682287.13995,3
36,36,0.3771428407728672,0.16612698412698412,0.1895873015873016,0.2095873015873016,0.2302857142857143,0.24765079365079365,0.17765079365079364,0.1956190476190476,0.2130793650793651,0.2312698412698413,0.16034920634920635,0.30000000000000004,[],13,2,1.0999999046325684,0.8000001907348633,10,(((.(((((...((....)))).))).))),13274882535.599998,4
